Day + Time,TempC,Windspeed(km/h),Windir16Point,WeatherCode,Humidity (%),Visibility (km),Pressure (mb),Cloudcover (%)
2013-01-24 - 0,23,8,SE,113,83,10,1011,20
2013-01-24 - 300,22,6,E,113,87,10,1010,22
2013-01-24 - 600,23,8,ENE,113,85,10,1011,21
2013-01-24 - 900,28,4,NE,113,63,10,1012,16
2013-01-24 - 1200,32,3,N,116,50,10,1010,14
2013-01-24 - 1500,31,6,SSE,116,51,10,1009,23
2013-01-24 - 1800,26,13,SSE,113,69,10,1010,18
2013-01-25 - 0,23,10,SE,116,79,10,1011,20
2013-01-25 - 300,23,9,ESE,113,84,10,1010,22
2013-01-25 - 600,23,9,ENE,113,83,10,1011,21
2013-01-25 - 900,28,8,NNE,116,63,10,1012,16
2013-01-25 - 1200,32,4,NNW,116,48,10,1010,14
2013-01-25 - 1500,32,6,SSE,119,48,10,1009,23
2013-01-25 - 1800,26,15,SSE,113,71,10,1010,18
2013-01-26 - 0,23,10,ESE,116,84,10,1011,20
2013-01-26 - 300,23,8,E,113,86,10,1010,22
2013-01-26 - 600,23,9,NE,113,83,10,1011,21
2013-01-26 - 900,28,6,NE,113,62,10,1012,16
2013-01-26 - 1200,33,3,E,116,46,10,1010,14
2013-01-26 - 1500,31,10,SSE,113,47,10,1009,23
2013-01-26 - 1800,26,16,SSE,113,65,10,1010,18
2013-01-27 - 0,23,11,SE,113,79,10,1011,20
2013-01-27 - 300,22,9,ESE,113,83,10,1010,22
2013-01-27 - 600,23,7,ENE,113,80,10,1011,21
2013-01-27 - 900,28,6,NE,113,59,10,1012,16
2013-01-27 - 1200,32,1,E,113,45,10,1010,14
2013-01-27 - 1500,31,10,SSE,116,46,10,1009,23
2013-01-27 - 1800,26,12,SSE,113,67,10,1010,18
2013-02-01 - 0,24,8,ESE,116,77,10,1012,13
2013-02-01 - 300,23,5,E,116,80,10,1010,7
2013-02-01 - 600,24,6,E,113,77,10,1011,12
2013-02-01 - 900,30,6,N,113,55,10,1011,9
2013-02-01 - 1200,34,5,N,113,42,10,1010,44
2013-02-01 - 1500,33,5,SE,116,42,10,1008,80
2013-02-01 - 1800,27,15,SE,113,58,10,1010,26
